city_name,state_id,lat,lng,population_city,density_city,incorporated_city,ranking_city
New York,NY,40.6943,-73.9249,18908608,11080.3,1,1
Los Angeles,CA,34.1141,-118.4068,11922389,3184.7,1,1
Chicago,IL,41.8375,-87.6866,8497759,4614.5,1,1
Miami,FL,25.784,-80.2101,6080145,4758.9,1,1
Houston,TX,29.786,-95.3885,5970127,1384.0,1,1
Dallas,TX,32.7935,-96.7667,5830932,1478.7,1,1
Philadelphia,PA,40.0077,-75.1339,5683533,4578.4,1,1
Atlanta,GA,33.7628,-84.422,5180179,1412.3,1,1
Washington,DC,38.9047,-77.0163,5116378,4235.7,1,1
Boston,MA,42.3188,-71.0852,4328315,5319.0,1,1
Phoenix,AZ,33.5722,-112.0892,4064275,1198.9,1,1
Detroit,MI,42.3834,-83.1024,3725908,1772.2,1,1
Seattle,WA,47.6211,-122.3244,3561397,3376.6,1,1
San Francisco,CA,37.7558,-122.4449,3364979,7030.7,1,1
San Diego,CA,32.8313,-117.1222,3046560,1639.7,1,1
Minneapolis,MN,44.9635,-93.2678,2892569,3052.2,1,1
Tampa,FL,27.9945,-82.4447,2861173,1320.9,1,1
Brooklyn,NY,40.6501,-73.9496,2736074,15200.5,1,1
Denver,CO,39.762,-104.8758,2687458,1792.9,1,1
Queens,NY,40.7498,-73.7976,2405464,8503.7,1,1
Riverside,CA,33.9381,-117.3949,2332836,1503.9,1,1
Las Vegas,NV,36.2333,-115.2654,2248047,1755.1,1,1
Baltimore,MD,39.3051,-76.6144,2196524,2788.2,1,1
St. Louis,MO,38.6359,-90.2451,2130881,1864.3,1,1
Portland,OR,45.5371,-122.65,2095808,1868.8,1,1
San Antonio,TX,29.4632,-98.5238,2058444,1118.8,1,1
Sacramento,CA,38.5677,-121.4685,1957738,2049.4,1,1
Austin,TX,30.3005,-97.7522,1905945,1154.1,1,1
Orlando,FL,28.4773,-81.337,1882705,1070.2,1,1
San Juan,PR,18.3985,-66.061,1814587,3128.8,0,1
San Jose,CA,37.3012,-121.848,1771413,2172.6,1,1
Pittsburgh,PA,40.4397,-79.9763,1749091,2118.5,1,1
Indianapolis,IN,39.7771,-86.1458,1729849,941.8,1,1
Manhattan,NY,40.7834,-73.9662,1694263,28653.9,1,1
Cincinnati,OH,39.1413,-84.506,1692702,1530.6,1,1
Kansas City,MO,39.1238,-94.5541,1689556,620.7,1,1
Cleveland,OH,41.4764,-81.6805,1680247,1839.6,1,1
Columbus,OH,39.9862,-82.9855,1572546,1581.0,1,1
Bronx,NY,40.8501,-73.8662,1472654,13356.3,1,1
Virginia Beach,VA,36.7335,-76.0435,1443020,722.4,1,1
Charlotte,NC,35.2083,-80.8303,1427444,1089.8,1,1
Milwaukee,WI,43.0642,-87.9675,1290940,2301.6,1,1
Providence,RI,41.823,-71.4187,1290271,3979.7,1,1
Jacksonville,FL,30.3322,-81.6749,1288298,491.0,1,1
Nashville,TN,36.1715,-86.7842,1177657,555.4,1,1
Salt Lake City,UT,40.7776,-111.9311,1173879,700.8,1,1
Raleigh,NC,35.8324,-78.6429,1163152,1210.0,1,1
Richmond,VA,37.5295,-77.4756,1073223,1463.7,1,1
Memphis,TN,35.1087,-89.9663,1037998,824.8,1,1
Oklahoma City,OK,35.4676,-97.5136,998806,433.6,1,2
Hartford,CT,41.7661,-72.6834,974684,2689.4,1,2
Louisville,KY,38.1663,-85.6485,963812,923.1,1,2
Buffalo,NY,42.9018,-78.8487,944589,2645.7,1,2
New Orleans,LA,30.0687,-89.9288,932759,866.5,1,2
Fort Worth,TX,32.7817,-97.3474,924663,1021.2,1,2
Bridgeport,CT,41.1918,-73.1954,908251,3568.4,1,2
Tucson,AZ,32.1541,-110.8787,878320,863.9,1,2
El Paso,TX,31.8476,-106.43,865270,1011.4,1,2
Omaha,NE,41.2627,-96.0529,821345,1323.9,1,2
McAllen,TX,26.2252,-98.2467,797341,884.4,1,2
Birmingham,AL,33.5279,-86.7971,782111,526.4,1,2
Albuquerque,NM,35.1054,-106.6465,769986,1159.8,1,2
Tulsa,OK,36.1283,-95.9042,731743,804.2,1,2
Fresno,CA,36.783,-119.7939,725276,1805.3,1,2
Charleston,SC,32.8168,-79.9687,706884,503.3,1,2
Rochester,NY,43.168,-77.6162,699921,2278.0,1,2
Dayton,OH,39.7805,-84.2003,668825,950.0,1,2
Cape Coral,FL,26.6443,-81.9957,654405,724.2,1,2
Mission Viejo,CA,33.6096,-117.6551,642211,2038.4,1,2
Colorado Springs,CO,38.8674,-104.7605,638194,917.5,1,2
Baton Rouge,LA,30.442,-91.1311,635671,1001.4,1,2
Allentown,PA,40.5961,-75.4756,627863,2754.2,1,2
Ogden,UT,41.2279,-111.9682,622918,1215.9,1,2
Provo,UT,40.2457,-111.6457,619218,1059.2,1,2
Knoxville,TN,35.9692,-83.9496,615829,750.3,1,2
Grand Rapids,MI,42.9619,-85.6562,609023,1708.2,1,2
Columbia,SC,34.0378,-80.9036,604065,383.1,1,2
Albany,NY,42.6664,-73.7987,590694,1798.3,1,2
Bakersfield,CA,35.3529,-119.0359,571992,1038.8,1,2
New Haven,CT,41.3113,-72.9246,565572,2804.1,1,2
Des Moines,IA,41.5725,-93.6105,548926,933.4,1,2
Akron,OH,41.0798,-81.5219,541945,1186.2,1,2
Palm Bay,FL,27.9631,-80.6593,534348,542.9,1,2
Concord,CA,37.9722,-122.0016,531175,1579.4,1,2
Wichita,KS,37.6895,-97.3443,509003,938.6,1,2
Mesa,AZ,33.4015,-111.7178,503390,1379.8,1,2
Harrisburg,PA,40.2752,-76.8843,498329,2380.4,1,2
Staten Island,NY,40.5834,-74.1496,495747,3286.2,1,2
Toledo,OH,41.6638,-83.5827,493302,1295.0,1,2
Worcester,MA,42.2705,-71.8079,486486,2110.2,1,2
Long Beach,CA,33.7977,-118.167,462293,3522.5,1,2
Port St. Lucie,FL,27.2796,-80.3884,462047,681.8,1,2
Little Rock,AR,34.7256,-92.3577,459409,649.4,1,2
Reno,NV,39.5497,-119.8483,457702,940.5,1,2
Spokane,WA,47.6671,-117.433,456219,1279.8,1,2
Madison,WI,43.0822,-89.393,451652,1268.3,1,2
Boise,ID,43.6005,-116.2308,449776,1072.4,1,2
Bonita Springs,FL,26.3558,-81.7859,449527,542.2,1,2
Denton,TX,33.2175,-97.1418,438492,567.5,1,2
Oakland,CA,37.7904,-122.2166,437825,3020.6,1,2
Springfield,MA,42.1155,-72.5395,437752,1881.5,1,2
Augusta,GA,33.3645,-82.0708,437257,257.5,1,2
Kissimmee,FL,28.3041,-81.4169,431618,1409.2,1,2
Winston-Salem,NC,36.1029,-80.261,427706,721.6,1,2
Stockton,CA,37.9765,-121.3109,413637,1980.5,1,2
Syracuse,NY,43.0407,-76.1437,410732,2251.6,1,2
Chattanooga,TN,35.066,-85.2481,406849,491.7,1,2
Lancaster,PA,40.042,-76.3012,402476,3096.9,1,2
Greenville,SC,34.8354,-82.3646,401443,917.9,1,2
Durham,NC,35.9792,-78.9022,399616,950.8,1,2
Pensacola,FL,30.4413,-87.1911,398813,917.0,1,2
Fayetteville,AR,36.0714,-94.1661,394650,672.8,1,2
Arlington,TX,32.6998,-97.125,393469,1585.1,1,2
Aurora,CO,39.7083,-104.7237,387349,920.3,1,2
Oxnard,CA,34.1964,-119.1815,369962,2944.1,1,2
Indio,CA,33.7346,-116.2346,369654,1042.7,1,2
Scranton,PA,41.4044,-75.6649,366334,1161.3,1,2
Victorville,CA,34.5277,-117.3536,364015,704.1,1,2
Trenton,NJ,40.2237,-74.7641,362179,4571.3,1,2
Modesto,CA,37.6375,-121.0028,354183,1955.8,1,2
Huntsville,AL,34.6981,-86.6412,349482,376.2,1,2
Honolulu,HI,21.3294,-157.846,348547,2219.9,1,2
Greensboro,NC,36.0956,-79.8271,347130,873.2,1,2
Anaheim,CA,33.839,-117.8574,347111,2665.3,1,2
Corpus Christi,TX,27.7254,-97.3767,337230,756.1,1,2
Fort Wayne,IN,41.0888,-85.1436,337163,923.0,1,2
Fort Collins,CO,40.5477,-105.0656,335398,1142.2,1,2
Jackson,MS,32.3157,-90.2125,335171,529.9,1,2
Myrtle Beach,SC,33.7094,-78.8844,332181,594.6,1,2
Fayetteville,NC,35.085,-78.9772,328804,543.5,1,2
Antioch,CA,37.9787,-121.796,327216,1522.3,1,2
Lansing,MI,42.7142,-84.5601,322561,1114.5,1,2
Lexington,KY,38.0423,-84.4587,321276,437.0,1,2
Mobile,AL,30.6782,-88.1162,320855,515.7,1,2
Youngstown,OH,41.0993,-80.6463,319065,683.3,1,2
Henderson,NV,36.0133,-115.0381,318063,1153.8,1,2
Savannah,GA,32.0286,-81.1821,316050,524.8,1,2
Poughkeepsie,NY,41.695,-73.9211,314159,2380.4,1,2
Santa Ana,CA,33.7367,-117.8819,311379,4391.5,1,2
Ann Arbor,MI,42.2759,-83.731,308983,1671.9,1,2
St. Paul,MN,44.9478,-93.1039,308806,2294.1,1,2
Newark,NJ,40.7245,-74.1725,307355,4915.2,1,2
Irvine,CA,33.6772,-117.7738,304527,1792.1,1,2
Santa Rosa,CA,38.4458,-122.7067,296180,1618.1,1,2
Canton,OH,40.8078,-81.3676,294047,1034.3,1,2
Asheville,NC,35.5707,-82.5537,294013,795.6,1,2
Flint,MI,43.0236,-83.6921,293893,945.2,1,2
Winter Haven,FL,28.0118,-81.7014,293093,596.3,1,2
Anchorage,AK,61.1508,-149.1091,290674,65.8,1,2
Lincoln,NE,40.8099,-96.6784,290531,1132.1,1,2
Concord,NC,35.3933,-80.6369,288783,635.4,1,2
Jersey City,NJ,40.7184,-74.0686,287899,7537.2,1,2
Springfield,MO,37.1943,-93.2916,286280,784.5,1,2
Plano,TX,33.0502,-96.7486,284948,1534.7,1,2
Shreveport,LA,32.4653,-93.7955,283536,664.7,1,2
Davenport,IA,41.5565,-90.6053,281333,614.0,1,2
Lubbock,TX,33.5657,-101.8879,280890,722.2,1,2
Lakeland,FL,28.0557,-81.9545,280346,663.9,1,2
South Bend,IN,41.6767,-86.2696,278061,948.2,1,2
Chula Vista,CA,32.6281,-117.0144,276103,2147.6,1,2
Chandler,AZ,33.2825,-111.8514,275618,1624.6,1,2
Rockford,IL,42.2596,-89.064,273237,881.3,1,2
Reading,PA,40.34,-75.9267,272712,3710.8,1,2
Eugene,OR,44.0564,-123.1174,270990,1543.4,1,2
Wilmington,NC,34.2099,-77.8866,268625,878.3,1,2
Santa Clarita,CA,34.4175,-118.4964,268273,1232.5,1,2
Gilbert,AZ,33.31,-111.7463,267267,1503.9,1,2
Salem,OR,44.9233,-123.0244,266420,1387.5,1,2
Killeen,TX,31.0753,-97.7297,265921,1086.4,1,2
Round Lake Beach,IL,42.3791,-88.0811,264451,2084.1,1,2
Columbus,GA,32.51,-84.8771,264282,364.8,1,2
North Las Vegas,NV,36.2883,-115.0888,264022,996.2,1,2
Kennewick,WA,46.1978,-119.1732,259995,1138.5,1,2
St. Petersburg,FL,27.7931,-82.6652,259343,1620.2,1,2
Tallahassee,FL,30.4551,-84.2527,258696,751.3,1,2
Laredo,TX,27.5625,-99.4874,255293,922.7,1,2
Irving,TX,32.8583,-96.9702,254962,1469.7,1,2
Peoria,IL,40.752,-89.6154,253467,908.7,1,2
Montgomery,AL,32.3482,-86.2668,251158,482.6,1,2
Chesapeake,VA,36.6778,-76.3023,249377,284.5,1,2
Glendale,AZ,33.5791,-112.2311,248083,1451.1,1,2
