Model,Time,test_Precision@3,test_Precision@3_%
NNM_BM25Recomender_Optuna_best_full_count,44.560619,0.06596,6.596
NNM_BM25Recomender_Optuna_full_count,46.530526,0.0659,6.59
NNM_BM25Recomender_Optuna_best_full_weight,54.56872296333313,0.0657286796851505,6.57286796851505
NNM_BM25Recomender_Optuna_full_weight,38.37103223800659,0.0656839426272085,6.56839426272085
NNM_BM25Recomender_full_count,37.784374,0.065018,6.5018
NNM_BM25Recomender_full_weight,36.64278697967529,0.0648538216631746,6.485382166317461
NNM_ItemItemRecomender_Optuna_full_count,38.681574,0.054597,5.4597
NNM_ItemItemRecomender_full_count,34.406739,0.054269,5.4269
NNM_ItemItemRecomender_Optuna_full_weight,36.1670503616333,0.0537167796277379,5.371677962773791
NNM_ItemItemRecomender_full_weight,34.429718017578125,0.0533812516931733,5.33812516931733
MF_ALS_Optuna_full_count,937.649484,0.046671,4.6671
MF_ALS_Optuna_full_weight,1241.0814802646637,0.0464122122226613,4.64122122226613
NNM_BM25Recomender_Optuna_best_full_dependent,12.421380043029783,0.0398039310145486,3.98039310145486
NNM_BM25Recomender_Optuna_full_dependent,13.701705932617188,0.0394546680797764,3.94546680797764
NNM_ItemItemRecomender_full_dependent,8.761032819747925,0.0390090567492051,3.90090567492051
NNM_ItemItemRecomender_Optuna_full_dependent,10.289567947387695,0.0390090567492051,3.90090567492051
MF_BPR_Optuna_best_full_expert,43.18780207633972,0.0379735682819383,3.7973568281938297
MF_BPR_Optuna_full_expert,32.48356485366821,0.0336563876651982,3.36563876651982
NNM_ItemItemRecomender_Optuna_full_expert,3.2172579765319824,0.032511013215859,3.2511013215859004
NNM_ItemItemRecomender_full_expert,3.232706069946289,0.0310132158590308,3.1013215859030803
NNM_BM25Recomender_Optuna_full_expert,7.917546987533569,0.0302202643171806,3.0220264317180603
NNM_BM25Recomender_full_dependent,9.58181118965149,0.0294946526640331,2.94946526640331
MF_ALS_Optuna_full_dependent,546.3781187534332,0.0286034300028904,2.86034300028904
NNM_BM25Recomender_full_expert,3.449359893798828,0.0274889867841409,2.7488986784140903
MF_BPR_full_expert,39.107378005981445,0.0259911894273127,2.59911894273127
NNM_CosinRecomender_Optuna_full_dependent,9.100620031356812,0.0254239329415165,2.54239329415165
NNM_CosinRecomender_full_dependent,9.454267740249634,0.025363715194142,2.5363715194142
MF_BPR_Optuna_full_dependent,128.48169589042664,0.0252914538972926,2.52914538972926
MF_BPR_Optuna_full_count,207.600149,0.023306,2.3306
MF_BPR_Optuna_full_weight,259.6574749946594,0.0232235038560858,2.32235038560858
NNM_CosinRecomender_Optuna_full_count,35.325722,0.022789,2.2789
NNM_CosinRecomender_full_count,47.539122,0.022721,2.2721
NNM_CosinRecomender_Optuna_full_weight,35.59376406669617,0.0206660353770712,2.06660353770712
NNM_CosinRecomender_full_weight,33.81237983703613,0.0206386960638845,2.06386960638845
MF_ALS_Optuna_full_expert,223.02204418182373,0.0186784140969163,1.8678414096916296
MF_BPR_full_dependent,80.1829240322113,0.0126698140475961,1.26698140475961
NNM_CosinRecomender_Optuna_full_expert,3.368880033493042,0.0115418502202643,1.15418502202643
MF_BPR_full_count,205.427586,0.010205,1.0205
MF_BPR_full_weight,247.5983486175537,0.0102025346028716,1.02025346028716
MF_ALS_full_expert,109.82217526435852,0.0096035242290748,0.96035242290748
MF_LMF_full_expert,66.405118227005,0.0095154185022026,0.95154185022026
MF_ALS_full_weight,320.6622700691223,0.0086267960064719,0.8626796006471901
MF_ALS_full_dependent,154.00152230262756,0.007924655554485,0.7924655554485001
NNM_CosinRecomender_full_expert,3.505168914794922,0.0077533039647577,0.7753303964757701
NMSLibModel_full_dependent,340.54656410217285,0.0075031313228634,0.75031313228634
NMSLibModel_Optuna_full_dependent,350.40227580070496,0.0073947393775893,0.73947393775893
NMSLibModel_full_count,371.761638,0.006629,0.6629
NMSLibModel_Optuna_full_count,391.682457,0.00645,0.645
NMSLibModel_Optuna_full_weight,393.5614171028137,0.0046551394180702,0.46551394180702
NMSLibModel_full_weight,399.3867108821869,0.0041406632517379,0.41406632517379
NMSLibModel_full_expert,183.27298283576965,0.0039647577092511,0.39647577092511
NMSLibModel_Optuna_full_expert,179.61896514892578,0.0037004405286343,0.37004405286343
MF_LMF_full_count,209.593369,0.00079,0.079
MF_LMF_full_dependent,104.63150906562804,0.0007828307158685,0.07828307158685
MF_LMF_full_weight,256.2452371120453,0.0007779277297682,0.07779277297682
MF_LMF_Optuna_full_count,506.557313,0.000263,0.0263
MF_LMF_Optuna_full_weight,768.8298528194427,0.0001665212712283,0.01665212712283
MF_LMF_Optuna_full_dependent,412.1436779499054,0.0001324790442239,0.01324790442239
MF_LMF_Optuna_full_expert,856.8459250926971,0.0,0.0
