Model,Time,train_Precision@3,test_Precision@3
LightFM_light_expert_bpr,367.0017738342285,0.0016108153,0.00061924016
LightFM_light_expert_logistic,382.8739552497864,2.3430042e-05,1.8212946e-05
LightFM_light_expert_warp,355.02632689476013,0.0028643229,0.0009015408
LightFM_light_expert_warp-kos,397.8008952140808,0.002788175,0.0009015408
LightFM_light_expert_hybrid,2176.9612090587616,0.007825634,0.00029140714
LightFM_light_expert_Optuna,12753.037731170654,0.8653651,0.007940845
LightFM_light_expert_hybrid_Optuna,20344.71831774712,0.0033504958,0.0012020546
LightFM_light_count_bpr,365.955931186676,0.0001698678,1.8212946e-05
LightFM_light_count_logistic,344.08659386634827,0.00421155,0.0015025681
LightFM_light_count_warp,365.55747723579407,0.0042876974,0.0014388227
LightFM_light_count_warp-kos,384.4937598705292,0.002981473,0.00094707333
LightFM_light_count_hybrid,2046.5349657535555,0.027237425,0.0008924344
LightFM_light_count_Optuna,1723.5822432041168,0.83188367,0.006857174
LightFM_light_count_hybrid_Optuna,5063.707717180252,0.61246127,0.0016846976
LightFM_light_weight_bpr,432.29897379875183,9.372017e-05,3.6425892e-05
LightFM_light_weight_logistic,395.8660740852356,0.0044458504,0.0014115033
LightFM_light_weight_warp,374.3973171710968,0.0044634226,0.0013750775
LightFM_light_weight_warp-kos,394.2501680850983,0.00270617,0.0008833279
LightFM_light_weight_hybrid,2080.786285877228,0.027424864,0.0009470732
LightFM_light_weight_Optuna,2448.857071876526,0.8044353,0.0031053075
LightFM_light_weight_hybrid_Optuna,5942.620506763458,0.0059980913,0.0015298876
LightFM_light_dependent_bpr,424.8276209831238,9.957767e-05,2.7319418e-05
LightFM_light_dependent_logistic,375.1486778259277,0.00442242,0.0013477581
LightFM_light_dependent_warp,397.44273614883423,0.0045278557,0.0014934615
LightFM_light_dependent_warp-kos,397.5891242027282,0.0030224756,0.0008833279
LightFM_light_dependent_hybrid,2159.3829560279846,0.027167134,0.00084690197
LightFM_light_dependent_Optuna,849.506267786026,0.0045922883,0.0015389941
LightFM_light_dependent_hybrid_Optuna,2669.84360575676,0.0035027913,0.0013932905
